8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44818	0.251553	-1.99579e-11	1.09554e-11	8.44818	0.251553	8.45	0.25	-3.00027	0
8.44862	0.238584	0.00326567	-0.259285	8.56759	0.241943	8.45	0.25	0	0
8.45582	0.253975	0.163234	0.0246044	8.45582	0.253997	8.45	0.25	0	0
8.29224	0.251127	-1.80469	-0.0156617	8.42544	0.254042	8.35	0.25	-1.81979	0
8.20605	0.248537	-1.7517	-0.0262368	8.23962	0.24916	8.25	0.25	-1.81978	0
8.00361	0.243305	-3.65131	-0.0865093	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.82705	0.18288	-3.62928	-0.372994	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.66302	0.16394	-3.25125	-0.369069	7.61269	0.155818	7.7	0.15	-2.99982	0
7.50959	0.154711	-3.22182	-0.319327	7.54016	0.159641	7.55	0.15	-2.99982	0
7.40565	0.137368	-1.99095	-0.305092	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.30774	0.0593619	-1.94459	-0.64142	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.15816	0.0261784	-2.72896	-0.628678	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.01914	-0.0405839	-2.68773	-0.804966	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.91526	-0.0889669	-1.7638	-0.842458	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.82481	-0.223591	-1.74584	-1.32495	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.71744	-0.28727	-2.05711	-1.29922	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.61869	-0.428	-2.05918	-1.71663	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.57158	-0.527349	-1.05877	-1.86226	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.52681	-0.639568	-1.03629	-1.96577	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.48803	-0.754083	-0.634544	-2.04343	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
